"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 12:27:32 EEST 2022","Sun Sep 18 12:27:41 EEST 2022","9045","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Password recovery with invalid email /#4",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:26 EEST 2022","5964","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Sign In Test with invalid data /#3",""
"passed","Sun Sep 18 12:27:33 EEST 2022","Sun Sep 18 12:27:44 EEST 2022","11835","firefox","redmine.org.spec.js","redmine.org","","","Positive Test: Site search /#5",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:31 EEST 2022","11440","chromium","redmine.org.spec.js","redmine.org","","","Positive Test: Site search /#5",""
"passed","Sun Sep 18 12:27:27 EEST 2022","Sun Sep 18 12:27:45 EEST 2022","18565","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Sign Up user with already existing data /#2",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:35 EEST 2022","15183","firefox","redmine.org.spec.js","redmine.org","","","Positive Test: Sign Up with valid credentionals /#1",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:29 EEST 2022","9354","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Password recovery with invalid email /#4",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:38 EEST 2022","18000","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Sign Up user with already existing data /#2",""
"passed","Sun Sep 18 12:27:20 EEST 2022","Sun Sep 18 12:27:32 EEST 2022","12146","chromium","redmine.org.spec.js","redmine.org","","","Positive Test: Sign Up with valid credentionals /#1",""
"passed","Sun Sep 18 12:27:30 EEST 2022","Sun Sep 18 12:27:41 EEST 2022","10663","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Sign In Test with invalid data /#3",""
